('port 1',TE,1,'port 1',1,'transmission')
1.904137e+14 2.828826e-05 -7.559410e+01
1.903890e+14 1.340994e-04 -7.606660e+01
1.903643e+14 2.282436e-04 -7.641259e+01
1.903396e+14 2.943927e-04 -7.674892e+01
1.903149e+14 3.170847e-04 -7.708361e+01
1.902902e+14 2.833953e-04 -7.742054e+01
1.902655e+14 1.849768e-04 -7.777022e+01
1.902408e+14 2.180813e-05 -7.851235e+01
1.902161e+14 2.064289e-04 -8.147131e+01
1.901915e+14 4.767906e-04 -8.182737e+01
1.901668e+14 7.662920e-04 -8.216419e+01
1.901422e+14 1.039059e-03 -8.249675e+01
1.901175e+14 1.250058e-03 -8.282805e+01
1.900929e+14 1.346695e-03 -8.315954e+01
1.900682e+14 1.271232e-03 -8.349302e+01
1.900436e+14 9.639493e-04 -8.383410e+01
1.900190e+14 3.677523e-04 -8.423762e+01
1.899944e+14 5.776049e-04 -8.122747e+01
1.899698e+14 1.904005e-03 -8.160855e+01
1.899452e+14 3.648084e-03 -8.194699e+01
1.899206e+14 5.822679e-03 -8.227855e+01
1.898960e+14 8.422169e-03 -8.260767e+01
1.898714e+14 1.142020e-02 -8.293561e+01
1.898468e+14 1.476910e-02 -8.326286e+01
1.898222e+14 1.840056e-02 -8.358967e+01
1.897977e+14 2.222755e-02 -8.391617e+01
1.897731e+14 2.614746e-02 -8.424244e+01
1.897486e+14 3.004627e-02 -8.456854e+01
1.897240e+14 3.380353e-02 -8.489450e+01
1.896995e+14 3.729790e-02 -8.522034e+01
1.896749e+14 4.041291e-02 -8.554610e+01
1.896504e+14 4.304258e-02 -8.587177e+01
1.896259e+14 4.509658e-02 -8.619738e+01
1.896014e+14 4.650458e-02 -8.652291e+01
1.895769e+14 4.721968e-02 -8.684837e+01
1.895524e+14 4.722055e-02 -8.717376e+01
1.895279e+14 4.651237e-02 -8.749908e+01
1.895034e+14 4.512635e-02 -8.782431e+01
1.894789e+14 4.311798e-02 -8.814947e+01
1.894544e+14 4.056417e-02 -8.847454e+01
1.894300e+14 3.755918e-02 -8.879954e+01
1.894055e+14 3.420995e-02 -8.912447e+01
1.893810e+14 3.063075e-02 -8.944934e+01
1.893566e+14 2.693769e-02 -8.977416e+01
1.893321e+14 2.324331e-02 -9.009896e+01
1.893077e+14 1.965167e-02 -9.042374e+01
1.892833e+14 1.625401e-02 -9.074853e+01
1.892588e+14 1.312548e-02 -9.107336e+01
1.892344e+14 1.032286e-02 -9.139825e+01
1.892100e+14 7.883466e-03 -9.172323e+01
1.891856e+14 5.825182e-03 -9.204833e+01
1.891612e+14 4.147585e-03 -9.237357e+01
1.891368e+14 2.833954e-03 -9.269893e+01
1.891124e+14 1.854029e-03 -9.302422e+01
1.890880e+14 1.167259e-03 -9.334884e+01
1.890637e+14 7.263167e-04 -9.367117e+01
1.890393e+14 4.806334e-04 -9.398843e+01
1.890149e+14 3.797219e-04 -9.430037e+01
1.889906e+14 3.760411e-04 -9.461355e+01
1.889662e+14 4.273598e-04 -9.493267e+01
1.889419e+14 4.985536e-04 -9.525597e+01
1.889175e+14 5.626395e-04 -9.558094e+01
1.888932e+14 6.010970e-04 -9.590640e+01
1.888689e+14 6.035689e-04 -9.623202e+01
1.888446e+14 5.670285e-04 -9.655783e+01
1.888203e+14 4.945302e-04 -9.688411e+01
1.887960e+14 3.936864e-04 -9.721152e+01
1.887717e+14 2.750200e-04 -9.754183e+01
1.887474e+14 1.503430e-04 -9.788222e+01
1.887231e+14 3.151988e-05 -9.833993e+01
1.886988e+14 7.262506e-05 -9.528185e+01
1.886745e+14 1.526147e-04 -9.564498e+01
1.886502e+14 2.044627e-04 -9.597928e+01
1.886260e+14 2.264555e-04 -9.630830e+01
1.886017e+14 2.199518e-04 -9.663591e+01
1.885775e+14 1.889225e-04 -9.696389e+01
1.885532e+14 1.393189e-04 -9.729456e+01
1.885290e+14 7.831913e-05 -9.763629e+01
1.885048e+14 1.374864e-05 -9.814876e+01
1.884805e+14 4.819646e-05 -9.503858e+01
1.884563e+14 1.000725e-04 -9.539617e+01
1.884321e+14 1.377811e-04 -9.572908e+01
1.884079e+14 1.585019e-04 -9.605702e+01
1.883837e+14 1.614064e-04 -9.638343e+01
1.883595e+14 1.475482e-04 -9.670973e+01
1.883353e+14 1.195982e-04 -9.703731e+01
1.883111e+14 8.144869e-05 -9.736939e+01
1.882870e+14 3.774292e-05 -9.772339e+01
1.882628e+14 7.126760e-06 -1.008242e+02
1.882386e+14 4.748962e-05 -1.014090e+02
1.882145e+14 8.043522e-05 -1.017510e+02
1.881903e+14 1.029025e-04 -1.020806e+02
1.881662e+14 1.133188e-04 -1.024071e+02
1.881420e+14 1.114341e-04 -1.027326e+02
1.881179e+14 9.824997e-05 -1.030584e+02
1.880938e+14 7.583507e-05 -1.033864e+02
1.880697e+14 4.705160e-05 -1.037217e+02
1.880455e+14 1.525144e-05 -1.041136e+02
1.880214e+14 1.640697e-05 -1.010967e+02
1.879973e+14 4.434916e-05 -1.014793e+02
1.879732e+14 6.619491e-05 -1.018137e+02
1.879492e+14 8.006435e-05 -1.021409e+02
1.879251e+14 8.501416e-05 -1.024661e+02
1.879010e+14 8.105123e-05 -1.027908e+02
1.878769e+14 6.907444e-05 -1.031163e+02
1.878529e+14 5.073433e-05 -1.034448e+02
1.878288e+14 2.823001e-05 -1.037854e+02
1.878047e+14 4.180062e-06 -1.043526e+02
1.877807e+14 1.938209e-05 -1.074673e+02
1.877567e+14 3.957100e-05 -1.078203e+02
1.877326e+14 5.475743e-05 -1.081507e+02
1.877086e+14 6.365946e-05 -1.084763e+02
1.876846e+14 6.569639e-05 -1.088004e+02
1.876606e+14 6.100301e-05 -1.091244e+02
1.876366e+14 5.037905e-05 -1.094496e+02
1.876126e+14 3.517714e-05 -1.097791e+02
1.875886e+14 1.714637e-05 -1.101281e+02
1.875646e+14 2.044416e-06 -1.130631e+02
1.875406e+14 1.974127e-05 -1.138100e+02
1.875166e+14 3.484607e-05 -1.141516e+02
1.874926e+14 4.578627e-05 -1.144793e+02
1.874687e+14 5.164951e-05 -1.148036e+02
1.874447e+14 5.207327e-05 -1.151268e+02
1.874208e+14 4.725272e-05 -1.154502e+02
1.873968e+14 3.789613e-05 -1.157752e+02
1.873729e+14 2.513267e-05 -1.161059e+02
1.873489e+14 1.038996e-05 -1.164688e+02
1.873250e+14 4.890844e-06 -1.134204e+02
1.873011e+14 1.894653e-05 -1.138554e+02
1.872772e+14 3.058352e-05 -1.141908e+02
1.872533e+14 3.870753e-05 -1.145167e+02
('port 2',TE,1,'port 1',1,'transmission')
(500,3)
1.999950e+14 4.630702e-04 -2.209517e-01
1.999677e+14 6.810991e-04 -6.055562e-01
1.999404e+14 8.070219e-04 -9.849106e-01
1.999132e+14 8.219077e-04 -1.363015e+00
1.998859e+14 7.220930e-04 -1.741817e+00
1.998587e+14 5.198921e-04 -2.124637e+00
1.998315e+14 2.421824e-04 -2.529559e+00
1.998042e+14 7.532700e-05 4.749121e-01
1.997770e+14 3.846909e-04 -4.568606e-02
1.997498e+14 6.460587e-04 -4.346857e-01
1.997226e+14 8.214232e-04 -8.143526e-01
1.996954e+14 8.850077e-04 -1.191746e+00
1.996682e+14 8.262544e-04 -1.569088e+00
1.996411e+14 6.514842e-04 -1.948698e+00
1.996139e+14 3.832903e-04 -2.338478e+00
1.995867e+14 5.889592e-05 -2.923521e+00
1.995596e+14 2.824454e-04 1.450640e-01
1.995324e+14 5.876811e-04 -2.553297e-01
1.995053e+14 8.163726e-04 -6.362426e-01
1.994781e+14 9.354166e-04 -1.013248e+00
1.994510e+14 9.265017e-04 -1.389442e+00
1.994239e+14 7.887890e-04 -1.766760e+00
1.993968e+14 5.393021e-04 -2.149380e+00
1.993697e+14 2.110306e-04 -2.567373e+00
1.993426e+14 1.537932e-04 3.770115e-01
1.993155e+14 5.017587e-04 -6.612111e-02
1.992884e+14 7.867290e-04 -4.502344e-01
1.992613e+14 9.677589e-04 -8.273326e-01
1.992343e+14 1.017974e-03 -1.202672e+00
1.992072e+14 9.281636e-04 -1.578268e+00
1.991801e+14 7.083225e-04 -1.956729e+00
1.991531e+14 3.866473e-04 -2.348669e+00
1.991261e+14 1.758633e-05 -3.950389e+00
1.990990e+14 3.840454e-04 -6.146467e+00
1.990720e+14 7.268575e-04 -6.538892e+00
1.990450e+14 9.757812e-04 -6.916919e+00
1.990180e+14 1.094661e-03 -7.291737e+00
1.989910e+14 1.064691e-03 -7.666012e+00
1.989640e+14 8.872489e-04 -8.041723e+00
1.989370e+14 5.840754e-04 -8.423835e+00
1.989100e+14 1.949903e-04 -8.857242e+00
1.988830e+14 2.305981e-04 -5.913481e+00
1.988561e+14 6.307776e-04 -6.334441e+00
1.988291e+14 9.523548e-04 -6.715125e+00
1.988022e+14 1.149224e-03 -7.089912e+00
1.987752e+14 1.191833e-03 -7.463248e+00
1.987483e+14 1.071300e-03 -7.837089e+00
1.987213e+14 8.010034e-04 -8.214339e+00
1.986944e+14 4.152525e-04 -8.608198e+00
1.986675e+14 4.150425e-05 -1.155818e+01
1.986406e+14 4.918768e-04 -1.239915e+01
1.986137e+14 8.889821e-04 -1.278763e+01
1.985868e+14 1.172587e-03 -1.316358e+01
1.985599e+14 1.301386e-03 -1.353660e+01
1.985330e+14 1.254473e-03 -1.390920e+01
