.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.505877650404692e-06,-0.07837097921042163,0.04304147918675107,291.6658866368775,4.062858637669965e-12,246132117600.2069,6.559035465736795e-05,20.97204384557729,-20.97204384557729
1.505909124161899e-06,-0.07337135751750327,0.05111411648573982,291.5596430463988,4.064899493738608e-12,246008542533.55,6.409588180732257e-05,20.97126725289685,-20.97126725289685
1.505940599234773e-06,-0.06753873606782457,0.0586139662629027,291.4533467149028,4.066905759139084e-12,245887182842.3406,6.338694507572484e-05,20.97068672892863,-20.97068672892863
1.5059720756234e-06,-0.06093774433047514,0.06545444467306614,291.3469982235545,4.068854687630069e-12,245769406078.8533,6.044742999489942e-05,20.97035270113776,-20.97035270113776
1.50600355332786e-06,-0.05364224892975198,0.07155602464403689,291.2405999891429,4.070679406386153e-12,245659237726.0618,5.548989249176852e-05,20.97031875052277,-20.97031875052277
1.506035032348236e-06,-0.04573462994037585,0.07684731046164457,291.1341560893885,4.072389556272371e-12,245556076151.8459,5.316346652440573e-05,20.97063916185446,-20.97063916185446
1.506066512684611e-06,-0.03730470149903688,0.08126637687557398,291.0276684369916,4.073996044669413e-12,245459246654.9991,4.889959788533557e-05,20.97134559797163,-20.97134559797163
1.506097994337068e-06,-0.02844876862649027,0.0847611826241071,290.9211405393623,4.075433891944306e-12,245372646573.0795,4.244563249101448e-05,20.97247236967845,-20.97247236967845
1.506129477305688e-06,-0.01926857436026552,0.08729030965819078,290.8145777067677,4.076729218029125e-12,245294682702.3859,3.984183899488653e-05,20.97405602113177,-20.97405602113177
1.506160961590555e-06,-0.009869716634391798,0.08882388670034458,290.7079820808945,4.07834161823828e-12,245197703774.4989,6.258340153503238e-05,20.97611195903647,-20.97611195903647
1.50619244719175e-06,-0.0003586750644492477,0.08934476120902334,290.6013349413163,4.080036287195994e-12,245095859352.577,4.506419980834007e-05,20.97854815984447,-20.97854815984447
1.506223934109358e-06,0.009153930849937519,0.08884548868829804,290.4946507069034,4.081174376745254e-12,245027511124.7519,2.722584992256242e-05,20.98143241745545,-20.98143241745545
1.506255422343459e-06,0.0185570171453566,0.08733100367712654,290.3879440604508,4.081985183009423e-12,244978841217.34,2.427321053275061e-05,20.98483535609657,-20.98483535609657
1.506286911894137e-06,0.0277417327013351,0.08481893956375354,290.2812174317054,4.082674973933397e-12,244937450662.7854,1.953767070867486e-05,20.98876588156569,-20.98876588156569
